customer_id,customer_type,customer_name,email,gender,dob,area,region,signup_date,loyalty_points,customer_segment,email_marketing_opt_in,sms_marketing_opt_in,push_notifications_opt_in
CUST074,Retail Members,,maldonadoamanda@example.com,,,,,2024-05-22,0.0,Active Customers,,,
CUST075,Retail Members,,daniel62@example.com,,,,,2024-10-10,0.0,Active Customers,,,
CUST076,Retail Walk-In,,,,,,,,,,,,
CUST077,Omnichannel,Aaron Bowen,aaron.bowen@example.net,Female,1957-12-04,Lorong Chuan,North-East,,0.0,Budget Shoppers,False,True,True
CUST078,Retail Walk-In,,,,,,,,,,,,
CUST079,Omnichannel,Vincent White,vincent.white@example.org,Female,1999-03-19,Sengkang,North-East,2024-11-23,0.0,High Spenders,False,False,False
CUST080,Retail Walk-In,,,,,,,,,,,,
CUST081,Retail Members,,meagan89@example.org,,,,,2024-03-29,0.0,Active Customers,,,
CUST082,Retail Walk-In,,,,,,,,,,,,
CUST083,Retail Walk-In,,,,,,,,,,,,
CUST084,Retail Walk-In,,,,,,,,,,,,
CUST085,Retail Walk-In,,,,,,,,,,,,
CUST086,Retail Walk-In,,,,,,,,,,,,
CUST087,Retail Members,,nathanielmartin@example.net,,,,,2024-10-09,0.0,Churn Risk Customers,,,
CUST088,Retail Walk-In,,,,,,,,,,,,
CUST089,Retail Walk-In,,,,,,,,,,,,
CUST090,Omnichannel,Samantha George,samantha.george@example.com,Male,1941-05-04,Tanah Merah,East,2024-06-05,0.0,New Customers,False,False,False
CUST091,Retail Walk-In,,,,,,,,,,,,
CUST092,Retail Walk-In,,,,,,,,,,,,
CUST093,Retail Walk-In,,,,,,,,,,,,
CUST094,Retail Walk-In,,,,,,,,,,,,
CUST095,Online Only,Sarah Koch,sarah.koch@example.com,Female,1956-04-19,Somerset,Central,2024-09-05,0.0,Budget Shoppers,,,
CUST096,Omnichannel,John Bradley,john.bradley@example.org,Female,1945-11-03,Jurong East,West,2024-05-04,0.0,Budget Shoppers,False,False,False
